Ticker,Model,MAE,RMSE,MAPE,R2
SSI,Holt-Winters,5381.8624,7293.186,16.4774,-0.9218
SSI,Linear Regression,494.9878,732.4087,1.6946,0.9806
SSI,Random Forest,595.6416,829.9421,2.0594,0.9751
STB,ARIMA,20665.3786,24290.1963,34.6573,-2.6155
STB,GBT,1470.2585,1911.9184,2.7565,0.9776
STB,Holt-Winters,18139.3339,21404.7416,30.355,-1.8075
STB,Linear Regression,853.4754,1250.9735,1.5568,0.9904
STB,Random Forest,1362.4885,1801.1285,2.541,0.9801
TCB,ARIMA,8001.531,9011.5124,23.4373,-3.5653
TCB,GBT,742.3584,950.0721,2.2565,0.9493
TCB,Holt-Winters,15094.3017,16566.3941,44.9852,-14.4286
TCB,Linear Regression,467.4532,654.3669,1.4374,0.9759
TCB,Random Forest,692.4583,906.517,2.109,0.9538
TCX,ARIMA,3331.3953,3754.1527,8.3001,-2.9077
TCX,GBT,948.9849,1249.1476,2.3352,0.5674
TCX,Holt-Winters,2759.0559,3144.7329,6.8795,-1.742
TCX,Linear Regression,680.2897,856.8399,1.6602,0.7964
TCX,Random Forest,927.1798,1223.214,2.2832,0.5851
VCB,ARIMA,28455.787,30810.7105,47.0078,-5.7068
VCB,GBT,1958.9023,2847.3468,3.1115,0.9427
VCB,Holt-Winters,33496.5335,36218.2518,55.2443,-8.2676
VCB,Linear Regression,743.2989,1786.1493,1.1534,0.9775
VCB,Random Forest,1886.3635,2803.9864,2.998,0.9445
VHM,ARIMA,55428.6929,65483.5078,50.2947,-2.468
VHM,GBT,3990.0234,6335.8352,3.8779,0.9675
VHM,Holt-Winters,64003.4813,75087.3977,58.4461,-3.5598
VHM,Linear Regression,2508.5894,5095.9157,2.4648,0.979
VHM,Random Forest,3730.0158,6184.4558,3.7482,0.9691
VIB,ARIMA,1565.5309,1933.5575,9.0415,-0.1023
VIB,GBT,467.6844,571.3211,2.6424,0.9038
VIB,Holt-Winters,1366.6873,1708.961,7.775,0.1389
VIB,Linear Regression,218.0774,337.7659,1.1995,0.9664
VIB,Random Forest,429.8392,541.1963,2.4419,0.9136
VIC,ARIMA,97270.7102,117120.2568,58.8433,-2.2211
VIC,GBT,9597.3936,15234.3023,5.8178,0.9455
VIC,Holt-Winters,101917.7968,122326.4948,61.9844,-2.5139
VIC,Linear Regression,3482.8157,7622.7811,2.3905,0.9864
VIC,Random Forest,7256.5714,11673.8328,4.6208,0.968
VJC,ARIMA,40091.0094,51271.2506,25.33,-0.7926
VJC,GBT,8976.7487,15426.4137,5.6539,0.8377
VJC,Holt-Winters,44187.3907,56610.1835,27.6419,-1.1854
VJC,Linear Regression,2403.1229,4252.0996,1.6383,0.9877
VJC,Random Forest,9436.2632,15420.1415,5.9184,0.8378
VNM,ARIMA,14943.6953,18688.7796,24.2588,-27.063
VNM,GBT,2280.9334,2697.8104,3.7248,0.4152
VNM,Holt-Winters,15102.9304,18874.1556,24.5202,-27.6225
VNM,Linear Regression,726.644,1069.4345,1.1839,0.9081
VNM,Random Forest,2121.2856,2562.8344,3.4678,0.4723
VPB,ARIMA,5980.425,7389.9835,21.5982,-1.2072
VPB,GBT,521.4589,713.0372,2.0688,0.9795
VPB,Holt-Winters,8599.3506,10480.5804,31.0667,-3.4395
VPB,Linear Regression,406.7296,614.9021,1.5541,0.9847
VPB,Random Forest,511.611,715.4071,2.0202,0.9793
VPL,ARIMA,5513.0756,6711.7202,7.0079,-0.1822
VPL,GBT,1537.3237,2007.9768,1.8635,0.8942
VPL,Holt-Winters,8364.5929,10133.8123,10.6576,-1.6951
VPL,Linear Regression,1018.0459,1377.0132,1.2373,0.9502
VPL,Random Forest,1467.1286,1943.1737,1.7908,0.9009
VRE,ARIMA,9208.3333,10780.9551,30.998,-2.2516
VRE,GBT,746.7754,983.5577,2.7153,0.9729
VRE,Holt-Winters,12483.4422,14339.8528,42.4174,-4.7528
VRE,Linear Regression,585.6724,839.0108,2.05,0.9803
VRE,Random Forest,697.5951,939.4062,2.5265,0.9753
